,ID,ACTIVITY_DATE,TOTAL_STEPS,TOTAL_DISTANCE,MEAN_DAILY_MET,MAX_DAILY_MET,CALORIES,VERY_ACTIVE_DISTANCE,MODERATE_ACTIVE_DISTANCE,LIGHT_ACTIVE_DIST,SEDENTARY_ACTIVE_DIST,VERY_ACTIVE_MINUTES,FAIRLY_ACTIVE_MINUTES,LIGHT_ACTIVE_MINUTES,SEDENTARY_ACTIVE_MINUTES,TOTAL_ACTIVE_MINUTES,TOTAL_ACTIVE_DISTANCE,%_ACTIVE_MINUTES,%_ACTIVE_DISTANCE,Cluster_label
0,1503960366,04/12/2016,13162,8.5,17.53,99.0,1985,1.8799999952000002,0.5500000119,6.059999942799999,0.0,25,13,328,728,1094.0,1993.4899999499,2.2851919561243146,0.09430696894628254,0
1,1503960366,04/13/2016,10735,6.9699997902,15.87,111.0,1797,1.5700000525,0.6899999976000001,4.7100000381000005,0.0,21,19,217,776,1033.0,1803.9700000881999,2.032913843175218,0.0870302750280348,0
2,1503960366,04/14/2016,10460,6.7399997711,15.69,97.0,1776,2.4400000572,0.400000006,3.9100000857999997,0.0,30,11,181,1218,1440.0,1782.750000149,2.083333333333333,0.13686720274834202,0
3,1503960366,04/15/2016,9762,6.2800002098,15.41,97.0,1745,2.1400001049,1.2599999905,2.8299999237,0.0,29,34,209,726,998.0,1751.2300000191,2.905811623246493,0.12219983125441317,0
4,1503960366,04/16/2016,12669,8.1599998474,16.45,103.0,1863,2.7100000381,0.4099999964,5.0399999618999995,0.0,36,10,221,773,1040.0,1871.1599999964,3.4615384615384617,0.1448299470972666,0
5,1503960366,04/17/2016,9705,6.480000019099999,15.26,95.0,1728,3.1900000572000002,0.7799999714,2.5099999905000003,0.0,38,20,164,539,761.0,1734.4800000191,4.993429697766097,0.1839167968016277,1
6,1503960366,04/18/2016,13019,8.5900001526,16.97,107.0,1921,3.25,0.6399999857,4.7100000381000005,0.0,42,16,233,1149,1440.0,1929.6000000237998,2.9166666666666665,0.16842868988183635,0
7,1503960366,04/19/2016,15506,9.880000114400001,17.97,109.0,2035,3.5299999713999997,1.3200000525,5.0300002098,0.0,50,31,264,775,1120.0,2044.8800002337,4.464285714285714,0.17262626515964613,1
8,1503960366,04/20/2016,10544,6.679999828300001,15.78,84.0,1786,1.9600000381,0.4799999893,4.2399997711,0.0,28,12,205,818,1063.0,1792.6799997985,2.634054562558796,0.10933351397462499,0
9,1503960366,04/21/2016,9819,6.3400001526,15.68,103.0,1775,1.3400000334,0.349999994,4.6500000954,0.0,19,8,211,838,1076.0,1781.3400001228,1.7657992565055762,0.07522427124005662,0
